[2013-10-6 15:58:26 23]  ModulePath: C:\Program Files\ViewEye\Client\nvtcodec\VideoLib.DLL [file:Config.cpp line:21]
[2013-10-6 15:58:28 973]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 973]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:28 973]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 974]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 974]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 974]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 973]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:28 974]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:28 974]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:28 977]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 984]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 984]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:28 984]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 987]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 987]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:28 987]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 992]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 992]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:28 994]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:28 994]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 995]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 995]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 995]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 3]  ***********padding=1, srcc1=160,padding_len=2************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 3]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 3]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 4]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 5]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 5]  ***********padding=1, srcc1=160,padding_len=2************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 5]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 5]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 10]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 10]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 10]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 12]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 12]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 12]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 13]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 13]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 13]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 17]  ***********padding=1, srcc1=160,padding_len=2************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 17]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 17]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 20]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 20]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 22]  ***********padding=1, srcc1=160,padding_len=2************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 22]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 22]  Not Find I Frame [file:CVideoElement.cpp line:3223]
